title,subtitle,short_description,style_description,details,price,num_colors
Sk8-Hi Waterproof Insulated Shoe,Cold-weather classic.,Rainy days. Cold days. This winter-ready Sk8-Hi keeps you warm and comfortable through it all.,"Winter days are unpredictable, but the Sk8-Hi Waterproof is ready for anything. Featuring HydroGuard 360º waterproofing, 100-gram Primaloft insulation and an All-Trac outsole, this cold-weather classic keeps you warm and comfortable—no matter what the forecast throws your way.","Leather, suede, and 100% recycled textile upper Hydroguard® 360º waterproof package for reliable protection in wet conditions 100-gram Primaloft® pure insulation package keeps your feet warm in cold temperatures Ultracush™ drop-in footbed for all-day comfort and support Durable all-trac rubber for multi-surface traction in various terrain and conditions. This brand new compound contains a blend of at least 30% recycled rubber and regenerative rubber that is sourced from farms utilizing agricultural practices that are intended to promote biodiversity, enhance water cycles, improve soil health, and/or sequester carbon Part of our MTE™—Made for the Elements—collection, built for water protection, thermal regulation, and traction when you need it most Contains 30% regenerative rubber and recycled ingredients Regeneratively grown natural rubber sourced is from farms utilizing agricultural practices that are intended to promote biodiversity, enhance water cycles, improve soil health and/or sequester carbon",$145.00,10 colors
Sk8-Hi GORE-TEX Insulated Shoe,Cold-weather classic.,"The iconic Sk8-Hi, now reinforced with GORE-TEX waterproofing and Duratherm insulation.","When the weather goes from good to bad, the Sk8-Hi GORE-TEX is there for you. This insulated take on our Classic high-top silhouette has everything you need to take on winter—breathable GORE-TEX waterproofing, 200-gram Duratherm insulation and a grippy All-Trac outsole.","Leather, suede, and 100% recycled textile upper PFAS-free GORE-TEX® waterproof package for the best wet-weather protection 200-gram PFAS-free GORE-TEX® Duratherm insulation package for reliable warmth in cold temperatures Ultracush™ drop-in footbed for all-day comfort and support Durable All-Trac rubber compound provides multi-surface traction. This brand new compound contains a blend of at least 30% recycled rubber and regenerative rubber that is sourced from farms utilizing agricultural practices that are intended to promote biodiversity, enhance water cycles, improve soil health, and/or sequester carbon Part of our MTE™—Made for the Elements—collection, built for water protection, thermal regulation, and traction when you need it most Contains 30% regenerative rubber and recycled ingredients Regeneratively grown natural rubber sourced is from farms utilizing agricultural practices that are intended to promote biodiversity, enhance water cycles, improve soil health and/or sequester carbon",$180.00,4 colors
Authentic Shoe,The original since ‘66.,"The longest running style in the Vans lineup, the Authentic is where it all started.","The Authentic is the original Vans silhouette. First introduced in 1966 and driven forward by creative culture ever since, this time-honored shoe keeps the old school vibe alive with sturdy canvas uppers in seasonal colorways. With its classic low-top design and iconic rubber waffle outsole, the Authentic is a blank canvas for creativity that allows you to do your thing in your own unique way.","Low-top shoe Canvas upper for a durable and classic look Unpadded, low-profile cuff for a minimalist fit Metal eyelets. Four on sizes 3.5 - 6 and five on sizes 6.5+ Rubber sidewall with classic foxing stripe Lace-up closure for a secure and adjustable fit Signature waffle outsole pattern for reliable grip since '66 Vulcanized build for the original look and feel",$55.00,15+ colors
Knu Skool Shoe,In With The Knu.,Oversized laces and puffed-up ’90s attitude on Vans’ signature sole.,"Born in ’98, the Knu Skool took inspiration from the iconic Old Skool to create something entirely its own. Oversized laces, a puffed tongue, and a plush collar captured unapologetic ’90s style, all grounded on Vans’ signature vulcanized sole.","Reissued '90s low-top shoe Suede upper for a soft, textured finish Oversized tongue and padded collar for extra comfort Wide laces for bold style and adjustable, secure fit Heel pulls for ease of entry Puffy 3D Sidestripe™ blends throwback style with a modern edge Rubber sidewall with classic foxing stripe Signature waffle outsole pattern for reliable grip since '66 Vulcanized build for the original look and feel",$80.00,15+ colors
Super Lowpro Shoe,Retro versatility.,Inspired by our '80s Serio Collection. Blending retro style with a modern edge.,"The Super Lowpro revives a low-profile legacy, taking cues from the sleek, low-to-the-ground profiles of ’80s runners and flats. Inspired by the Serio Style 84, it channels our past foray into athletic footwear–blending heritage design with everyday versatility. Lightweight and built to move, it stays true to Vans’ legacy of pushing beyond the board.","Low-profile, vintage track-inspired sneakers Inspired by ’80s Serio Style 84 OrthoLite® foam insole for cushioning Shock-absorbing EVA midsole provides cushioning without added weight Leather and suede upper for elevated durability Padded tongue adds comfort and support Perforation details on the sides add texture and a retro touch Heel mustache improves support while adding a subtle design detail Minimal lining for a soft, barely-there feel Heritage “Serio” branding on the tongue Two-layer SideStripe™ panels for a small color hit Cupsole construction provides enhanced support and durability Lace-up closure for an adjustable fit",$85.00,9 colors
Authentic Knit Shoe,Cozy texture,Classic canvas updated in soft cable knit.,"The Authentic Knit adds a cozy twist to an icon. Built with soft cable knit uppers and grounded by our signature rubber waffle outsole, this timeless low top brings a laid-back feel to the original.","Low-top shoe Soft cable knit uppers for texture and comfort Canvas upper for a durable and classic look Unpadded, low-profile cuff for a minimalist fit Metal eyelets. Four on sizes 3.5 - 6 and five on sizes 6.5+ Rubber sidewall with classic foxing stripe Lace-up closure for a secure and adjustable fit Signature waffle outsole pattern for reliable grip since '66 Vulcanized build for the original look and feel",$65.00,15+ colors
Classic Slip-On Shoe,No laces. Always iconic.,"Skateboarding’s original Slip-On, as iconic as ever.","Since its debut in 1979, the Slip-On has embodied Southern California’s casual, creative spirit. What started as a laid-back skate staple has become a pop culture icon—a global symbol of rebellion and self-expression.",Iconic slip on shoe Canvas upper for a classic look Padded collar for support and comfort Elastic side panels for easy slip-on and off Rubber sidewall with classic foxing stripe Vulcanized build for the original look and feel Signature waffle outsole pattern for reliable grip since '66,$60.00,10 colors
Classic Slip On Checkerboard Shoe,No laces. Always iconic.,"Skateboarding’s original Slip-On, as iconic as ever.","Since its debut in 1979, the Slip-On has embodied Southern California’s casual, creative spirit. What started as a laid-back skate staple has become a pop culture icon—a global symbol of rebellion and self-expression.",Iconic slip on shoe Textile upper for a unique look Padded collar for support and comfort Elastic side panels for easy slip-on and off Rubber sidewall with classic foxing stripe Vulcanized build for the original look and feel Signature waffle outsole pattern for reliable grip since '66,$60.00,15 colors
Old Skool Shoe,"Lifestyle, Original Icon, Leather, Lightweight Canvas",Est. '77 Feel Something New.,"The birth of our iconic SideStripe™, there’s always something new with the Old Skool.","The Old Skool was our first footwear design to showcase the famous Vans Sidestripe, although back then, it was just a random doodle drawn by founder Paul Van Doren. Since its debut in 1977, this low-top silhouette has established itself as an icon in the skate, music, and fashion scenes. From 90s street skaters and punks to current hip hop and fashion legends, the Old Skool Canvas has consistently been the go-to shoe for creatives who do things their own way.",$70.00,15+ colors
Toddler Old Skool V Shoe,Est. '77 Feel Something New.,"The birth of our iconic SideStripe™, there’s always something new with the Old Skool.","The Toddler Old Skool V reimagines our iconic Sidestripe shoe by swapping traditional laces for double hook-and-loop closures. Featuring our signature checkerboard print, this low-top style maintains its classic appeal while providing an easy, secure fit that keeps your little one comfortable all day.",Toddler low-top shoe Recommended for ages 9 months to 4 years Sturdy suede and canvas uppers Padded collar for enhanced support and comfort Double hook-and-loop closures for easy on-and-off Rubber sidewall with classic foxing stripe Signature waffle outsole pattern for reliable grip since '66 Vulcanized build for the original look and feel Iconic Sidestripe™ insignia,$45.00,12 colors
